2025-10-20 16:16:30 INFO     fed278c4-f614-4379-b8b8-68c592f3e769
2025-10-20 16:16:30 DEBUG    {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "driverConnectionId": 1, "serverConnectionId": 211580, "serverHost": "ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 31.527599785476923, "reply": "{\"helloOk\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"68e6c40e5ee0b64c7274b6fd\"}, \"counter\": 4}, \"hosts\": [\"ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net:27017\", \"ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net:27017\", \"ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net:27017\"], \"setName\": \"atlas-7gefq1-shard-0\", \"setVersion\": 26, \"secondary\": true, \"primary\": \"ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net:27017\", \"tags\": {\"availabilityZone\": \"1\", \"workloadType\": \"OPERATIONAL\", \"region\": \"INDIA_CENTRAL\", \"diskState\": \"READY\", \"provider\": \"AZURE\", \"nodeType\": \"ELECTABLE\"}, \"me\": \"ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net:27017\", \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760957192, \"i\": 2}}, \"t\": 149}, \"lastWriteDate\": {\"$date\": \"2025-10-20T10:46:32Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760957192, \"i\": 2}}, \"t\": 149}, \"majorityWriteDate\": {\"$date\": \"2025-10-20T10:46:32Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTim..."}
2025-10-20 16:16:30 DEBUG    {"message": "Connection pool ready", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net", "serverPort": 27017}
2025-10-20 16:16:30 DEBUG    {"message": "Topology description changed", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "previousDescription": "<TopologyDescription id: 68f61305ab474be7ad28dcb4, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.029621999943628907>]>", "newDescription": "<TopologyDescription id: 68f61305ab474be7ad28dcb4, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.03152759978547692>, <ServerDescription ('ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.029621999943628907>]>"}
2025-10-20 16:16:30 DEBUG    {"message": "Server heartbeat started", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "driverConnectionId": 1, "serverConnectionId": 211580, "serverHost": "ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net", "serverPort": 27017, "awaited": true}
2025-10-20 16:16:30 DEBUG    {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "driverConnectionId": 1, "serverConnectionId": 220791, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 34.63559993542731, "reply": "{\"helloOk\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"68e6c447677b16a9cb12568f\"}, \"counter\": 6}, \"hosts\": [\"ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net:27017\", \"ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net:27017\", \"ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net:27017\"], \"setName\": \"atlas-7gefq1-shard-0\", \"setVersion\": 26, \"ismaster\": true, \"primary\": \"ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net:27017\", \"tags\": {\"diskState\": \"READY\", \"region\": \"INDIA_CENTRAL\", \"workloadType\": \"OPERATIONAL\", \"availabilityZone\": \"2\", \"nodeType\": \"ELECTABLE\", \"provider\": \"AZURE\"}, \"me\": \"ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net:27017\", \"electionId\": {\"$oid\": \"7fffffff0000000000000095\"}, \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760957192, \"i\": 2}}, \"t\": 149}, \"lastWriteDate\": {\"$date\": \"2025-10-20T10:46:32Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760957192, \"i\": 2}}, \"t\": 149}, \"majorityWriteDate\": {\"$date\": \"2025-10-20T10:46:32Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes..."}
2025-10-20 16:16:30 DEBUG    {"message": "Connection pool ready", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017}
2025-10-20 16:16:30 DEBUG    {"message": "Topology description changed", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "previousDescription": "<TopologyDescription id: 68f61305ab474be7ad28dcb4, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.03152759978547692>, <ServerDescription ('ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.029621999943628907>]>", "newDescription": "<TopologyDescription id: 68f61305ab474be7ad28dcb4, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.03152759978547692>, <ServerDescription ('ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.03463559993542731>, <ServerDescription ('ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.029621999943628907>]>"}
2025-10-20 16:16:30 DEBUG    {"message": "Server heartbeat started", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "driverConnectionId": 1, "serverConnectionId": 220791, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017, "awaited": true}
2025-10-20 16:16:31 DEBUG    https://login.microsoftonline.com:443 "GET /f60dfc78-fca1-4c4c-9112-b231e45712f9/v2.0/.well-known/openid-configuration HTTP/1.1" 200 1753
2025-10-20 16:16:31 DEBUG    openid_config("https://login.microsoftonline.com/f60dfc78-fca1-4c4c-9112-b231e45712f9/v2.0/.well-known/openid-configuration") = {'token_endpoint': 'https://login.microsoftonline.com/f60dfc78-fca1-4c4c-9112-b231e45712f9/oauth2/v2.0/token', 'token_endpoint_auth_methods_supported': ['client_secret_post', 'private_key_jwt', 'client_secret_basic'], 'jwks_uri': 'https://login.microsoftonline.com/f60dfc78-fca1-4c4c-9112-b231e45712f9/discovery/v2.0/keys', 'response_modes_supported': ['query', 'fragment', 'form_post'], 'subject_types_supported': ['pairwise'], 'id_token_signing_alg_values_supported': ['RS256'], 'response_types_supported': ['code', 'id_token', 'code id_token', 'id_token token'], 'scopes_supported': ['openid', 'profile', 'email', 'offline_access'], 'issuer': 'https://login.microsoftonline.com/f60dfc78-fca1-4c4c-9112-b231e45712f9/v2.0', 'request_uri_parameter_supported': False, 'userinfo_endpoint': 'https://graph.microsoft.com/oidc/userinfo', 'authorization_endpoint': 'https://login.microsoftonline.com/f60dfc78-fca1-4c4c-9112-b231e45712f9/oauth2/v2.0/authorize', 'device_authorization_endpoint': 'https://login.microsoftonline.com/f60dfc78-fca1-4c4c-9112-b231e45712f9/oauth2/v2.0/devicecode', 'http_logout_supported': True, 'frontchannel_logout_supported': True, 'end_session_endpoint': 'https://login.microsoftonline.com/f60dfc78-fca1-4c4c-9112-b231e45712f9/oauth2/v2.0/logout', 'claims_supported': ['sub', 'iss', 'cloud_instance_name', 'cloud_instance_host_name', 'cloud_graph_host_name', 'msgraph_host', 'aud', 'exp', 'iat', 'auth_time', 'acr', 'nonce', 'preferred_username', 'name', 'tid', 'ver', 'at_hash', 'c_hash', 'email'], 'kerberos_endpoint': 'https://login.microsoftonline.com/f60dfc78-fca1-4c4c-9112-b231e45712f9/kerberos', 'tenant_region_scope': 'AS', 'cloud_instance_name': 'microsoftonline.com', 'cloud_graph_host_name': 'graph.windows.net', 'msgraph_host': 'graph.microsoft.com', 'rbac_url': 'https://pas.windows.net'}
2025-10-20 16:16:31 DEBUG    Broker enabled? None
2025-10-20 16:16:31 DEBUG    Region to be used: None
2025-10-20 16:16:31 DEBUG    {"message": "Server selection started", "selector": "Primary()", "operation": "aggregate", "topologyDescription": "<TopologyDescription id: 68f61305ab474be7ad28dcb4, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.03152759978547692>, <ServerDescription ('ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.03463559993542731>, <ServerDescription ('ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.029621999943628907>]>", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}}
2025-10-20 16:16:31 DEBUG    {"message": "Server selection succeeded", "selector": "Primary()", "operation": "aggregate", "topologyDescription": "<TopologyDescription id: 68f61305ab474be7ad28dcb4, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.03152759978547692>, <ServerDescription ('ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.03463559993542731>, <ServerDescription ('ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.029621999943628907>]>", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017}
2025-10-20 16:16:31 DEBUG    {"message": "Connection checkout started", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017}
2025-10-20 16:16:31 DEBUG    {"message": "Connection created", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017, "driverConnectionId": 1}
2025-10-20 16:16:31 DEBUG    {"message": "Connection ready", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017, "driverConnectionId": 1, "durationMS": 0.11978770000860095}
2025-10-20 16:16:31 DEBUG    {"message": "Connection checked out", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017, "driverConnectionId": 1, "durationMS": 0.22016440005972981}
2025-10-20 16:16:31 DEBUG    {"message": "Command started", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "command": "{\"aggregate\": \"LoadJobs\", \"pipeline\": [{\"$addFields\": {\"COBDateString\": {\"$substr\": [\"$FileName\", {\"$subtract\": [{\"$strLenCP\": \"$FileName\"}, 10]}, 10]}}}, {\"$addFields\": {\"COBDate\": {\"$dateFromString\": {\"dateString\": \"$COBDateString\"}}}}, {\"$group\": {\"COBDateList\": {\"$addToSet\": \"$COBDate\"}}}], \"lsid\": {\"id\": {\"$binary\": {\"base64\": \"K0GR9IvgTC2YxHEm68aXLA==\", \"subType\": \"04\"}}}, \"$clusterTime\": {\"clusterTime\": {\"$timestamp\": {\"t\": 1760957194, \"i\": 2}}, \"signature\": {\"hash\": {\"$binary\": {\"base64\": \"DzHJusJOCVxZtyW9RoVuIJO9Nbk=\", \"subType\": \"00\"}}, \"keyId\": 7525551523212820486}}, \"$db\": \"PFS_MI\"}", "commandName": "aggregate", "databaseName": "PFS_MI", "requestId": 26500, "operationId": 26500, "driverConnectionId": 1, "serverConnectionId": 220786, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017}
2025-10-20 16:16:32 DEBUG    {"message": "Command succeeded", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "durationMS": 62.068, "reply": "{\"cursor\": {\"firstBatch\": [{\"COBDateList\": [{\"$date\": \"2024-03-31T00:00:00Z\"}, {\"$date\": \"2024-12-21T00:00:00Z\"}, {\"$date\": \"2023-03-31T00:00:00Z\"}, {\"$date\": \"2025-02-22T00:00:00Z\"}, {\"$date\": \"2022-03-31T00:00:00Z\"}, {\"$date\": \"2021-03-31T00:00:00Z\"}, {\"$date\": \"2024-09-30T00:00:00Z\"}]}], \"ns\": \"PFS_MI.LoadJobs\"}, \"ok\": 1.0, \"$clusterTime\": {\"clusterTime\": {\"$timestamp\": {\"t\": 1760957194, \"i\": 4}}, \"signature\": {\"hash\": {\"$binary\": {\"base64\": \"DzHJusJOCVxZtyW9RoVuIJO9Nbk=\", \"subType\": \"00\"}}, \"keyId\": 7525551523212820486}}, \"operationTime\": {\"$timestamp\": {\"t\": 1760957194, \"i\": 4}}}", "commandName": "aggregate", "databaseName": "PFS_MI", "requestId": 26500, "operationId": 26500, "driverConnectionId": 1, "serverConnectionId": 220786, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017}
2025-10-20 16:16:32 DEBUG    {"message": "Connection checked in", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017, "driverConnectionId": 1}
2025-10-20 16:16:32 DEBUG    {"message": "Server selection started", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 68f61305ab474be7ad28dcb4, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.03152759978547692>, <ServerDescription ('ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.03463559993542731>, <ServerDescription ('ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.029621999943628907>]>", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}}
2025-10-20 16:16:32 DEBUG    {"message": "Server selection succeeded", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 68f61305ab474be7ad28dcb4, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.03152759978547692>, <ServerDescription ('ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.03463559993542731>, <ServerDescription ('ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.029621999943628907>]>", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017}
2025-10-20 16:16:32 DEBUG    {"message": "Connection checkout started", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017}
2025-10-20 16:16:32 DEBUG    {"message": "Connection checked out", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017, "driverConnectionId": 1, "durationMS": 0.00020750006660819054}
2025-10-20 16:16:32 DEBUG    {"message": "Command started", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "command": "{\"find\": \"GoldPrices\", \"lsid\": {\"id\": {\"$binary\": {\"base64\": \"K0GR9IvgTC2YxHEm68aXLA==\", \"subType\": \"04\"}}}, \"$clusterTime\": {\"clusterTime\": {\"$timestamp\": {\"t\": 1760957194, \"i\": 4}}, \"signature\": {\"hash\": {\"$binary\": {\"base64\": \"DzHJusJOCVxZtyW9RoVuIJO9Nbk=\", \"subType\": \"00\"}}, \"keyId\": 7525551523212820486}}, \"$db\": \"PFS_MI\"}", "commandName": "find", "databaseName": "PFS_MI", "requestId": 19169, "operationId": 19169, "driverConnectionId": 1, "serverConnectionId": 220786, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017}
2025-10-20 16:16:32 DEBUG    {"message": "Command succeeded", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "durationMS": 35.552, "reply": "{\"cursor\": {\"firstBatch\": [{\"_id\": {\"$oid\": \"6777c84e2104319cf7d3b69a\"}, \"COBDate\": {\"$date\": \"2024-03-31T00:00:00Z\"}, \"SourceType\": \"CSV\", \"Value\": 6275.0, \"Source\": \"PendingLoan_30_31-03-2024\"}, {\"_id\": {\"$oid\": \"6777ca4e2104319cf7d3b69f\"}, \"COBDate\": {\"$date\": \"2023-03-31T00:00:00Z\"}, \"SourceType\": \"CSV\", \"Value\": 5500, \"Source\": \"PendingLoan_30_31-03-2023\"}, {\"_id\": {\"$oid\": \"6777ca7f2104319cf7d3b6a0\"}, \"COBDate\": {\"$date\": \"2022-03-31T00:00:00Z\"}, \"SourceType\": \"CSV\", \"Value\": 4765, \"Source\": \"PendingLoan_30_31-03-2022\"}, {\"_id\": {\"$oid\": \"67835463ecea33733e46948b\"}, \"COBDate\": {\"$date\": \"2024-12-21T00:00:00Z\"}, \"SourceType\": \"API\", \"Source\": \"MetalPricesAPI\", \"Value\": 7164.0558223984635}, {\"_id\": {\"$oid\": \"6783548decea33733e46948c\"}, \"COBDate\": {\"$date\": \"2023-12-21T00:00:00Z\"}, \"SourceType\": \"API\", \"Source\": \"MetalPricesAPI\", \"Value\": 5444.319304769544}, {\"_id\": {\"$oid\": \"6783548eecea33733e46948d\"}, \"COBDate\": {\"$date\": \"2024-09-21T00:00:00Z\"}, \"SourceType\": \"API\", \"Source\": \"Me...", "commandName": "find", "databaseName": "PFS_MI", "requestId": 19169, "operationId": 19169, "driverConnectionId": 1, "serverConnectionId": 220786, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017}
2025-10-20 16:16:32 DEBUG    {"message": "Connection checked in", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017, "driverConnectionId": 1}
2025-10-20 16:16:40 DEBUG    {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "driverConnectionId": 1, "serverConnectionId": 210660, "serverHost": "ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net", "serverPort": 27017, "awaited": true, "durationMS": 10038.507899967954, "reply": "{\"topologyVersion\": {\"processId\": {\"$oid\": \"68e6c47f9abe50a311494773\"}, \"counter\": 3}, \"hosts\": [\"ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net:27017\", \"ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net:27017\", \"ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net:27017\"], \"setName\": \"atlas-7gefq1-shard-0\", \"setVersion\": 26, \"secondary\": true, \"primary\": \"ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net:27017\", \"tags\": {\"provider\": \"AZURE\", \"workloadType\": \"OPERATIONAL\", \"region\": \"INDIA_CENTRAL\", \"diskState\": \"READY\", \"nodeType\": \"ELECTABLE\", \"availabilityZone\": \"3\"}, \"me\": \"ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net:27017\", \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760957202, \"i\": 4}}, \"t\": 149}, \"lastWriteDate\": {\"$date\": \"2025-10-20T10:46:42Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760957202, \"i\": 4}}, \"t\": 149}, \"majorityWriteDate\": {\"$date\": \"2025-10-20T10:46:42Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"20..."}
2025-10-20 16:16:40 DEBUG    {"message": "Server heartbeat started", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "driverConnectionId": 1, "serverConnectionId": 210660, "serverHost": "ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net", "serverPort": 27017, "awaited": true}
2025-10-20 16:16:40 DEBUG    {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "driverConnectionId": 1, "serverConnectionId": 211580, "serverHost": "ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net", "serverPort": 27017, "awaited": true, "durationMS": 10038.720899960026, "reply": "{\"topologyVersion\": {\"processId\": {\"$oid\": \"68e6c40e5ee0b64c7274b6fd\"}, \"counter\": 4}, \"hosts\": [\"ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net:27017\", \"ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net:27017\", \"ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net:27017\"], \"setName\": \"atlas-7gefq1-shard-0\", \"setVersion\": 26, \"secondary\": true, \"primary\": \"ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net:27017\", \"tags\": {\"workloadType\": \"OPERATIONAL\", \"provider\": \"AZURE\", \"diskState\": \"READY\", \"nodeType\": \"ELECTABLE\", \"availabilityZone\": \"1\", \"region\": \"INDIA_CENTRAL\"}, \"me\": \"ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net:27017\", \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760957202, \"i\": 4}}, \"t\": 149}, \"lastWriteDate\": {\"$date\": \"2025-10-20T10:46:42Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760957202, \"i\": 4}}, \"t\": 149}, \"majorityWriteDate\": {\"$date\": \"2025-10-20T10:46:42Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"20..."}
